epoch,train_loss,val_loss,val_dice_wt,val_dice_tc,val_dice_et,learning_rate
1,0.5994275964796543,,,,,0.001
2,0.30976499639451505,,,,,0.001
3,0.28183063976466655,,,,,0.001
4,0.2689387170299888,,,,,0.001
5,0.2534546730220318,0.337775537006557,0.7702400230601794,0.7583333804569324,0.7403553233989097,0.001
6,0.24470678021386266,,,,,0.001
7,0.23634340250492095,,,,,0.001
8,0.2269115117415786,,,,,0.001
9,0.22499575594812632,,,,,0.001
10,0.2188910901658237,0.31221458376199007,0.8112244339005018,0.7819362318944106,0.7674232931811064,0.001
11,0.21613308880850673,,,,,0.001
12,0.21111172453686594,,,,,0.001
13,0.20399536541476845,,,,,0.001
14,0.20311962991580368,,,,,0.001
15,0.20093573569506407,0.30189646987617014,0.8032892220403615,0.7700459012846325,0.7447336722557282,0.001
16,0.19606574937328697,,,,,0.001
17,0.1948985347338021,,,,,0.001
18,0.19159117601253092,,,,,0.001
19,0.18908210132084788,,,,,0.001
20,0.1878642669003457,0.285153246037662,0.8193694366025027,0.7790101108440877,0.7566739858649861,0.001
21,0.18594021860696375,,,,,0.001
22,0.18511461876519025,,,,,0.001
23,0.18118796424940228,,,,,0.001
24,0.1801571768913418,,,,,0.001
25,0.17788342190161346,0.2797048156671226,0.8180831470542146,0.7933014820376071,0.7712473748989105,0.001
26,0.17661947667039932,,,,,0.001
27,0.17534340140782298,,,,,0.001
28,0.17465592214278877,,,,,0.001
29,0.176221560690552,,,,,0.001
30,0.1699720404818654,0.2448009047843516,0.8572557069748911,0.83385522355978,0.7969420236550735,0.001
31,0.1690368383768946,,,,,0.001
32,0.16816816267371176,,,,,0.001
33,0.17129351713880897,,,,,0.001
34,0.16793047996424137,,,,,0.001
35,0.16383161911927163,0.25374886000156405,0.8528900362103478,0.8186303451807888,0.7794467807188372,0.001
36,0.16325367124006152,,,,,0.001
37,0.16432914863340556,,,,,0.001
38,0.16158879264257847,,,,,0.001
39,0.16217214351706208,,,,,0.001
40,0.16218776232004165,0.2636981790438294,0.8436387221887467,0.797695781180834,0.7785439558069179,0.001
