subset,num_modalities,condition,dice_wt,dice_tc,dice_et
all,4,original_buggy,0.8983514466434954,0.8274479575614792,0.8392304633725647
all,4,eval_fixed_preKD,0.8983519711536548,0.8274482918201775,0.8392332072150446
all,4,eval_fixed_postKD,0.8996278502169758,0.8261508107729753,0.838948113115664
t1_t1ce_flair,3,original_buggy,0.8885190710084093,0.8304702362281069,0.8417783199733365
t1_t1ce_flair,3,eval_fixed_preKD,0.8754715838594745,0.8445537608156226,0.853713275161002
t1_t1ce_flair,3,eval_fixed_postKD,0.887171928622316,0.8310097077585584,0.8419874013238006
t1_t1ce_t2,3,original_buggy,0.7937725811624328,0.8097665394468209,0.818548342739892
t1_t1ce_t2,3,eval_fixed_preKD,0.8059437539085496,0.833278920091494,0.8345791971503626
t1_t1ce_t2,3,eval_fixed_postKD,0.8319606316519381,0.8366875879941986,0.8297613301270415
t1_t2_flair,3,original_buggy,0.8687035746999525,0.11050615008199823,0.04445208823093955
t1_t2_flair,3,eval_fixed_preKD,0.8686190079223084,0.2213770026736656,0.07162619952461187
t1_t2_flair,3,eval_fixed_postKD,0.8874491688424576,0.5997249197887933,0.46512281609201434
t1ce_t2_flair,3,original_buggy,0.8985845584064573,0.8311030362168214,0.8218433319406738
t1ce_t2_flair,3,eval_fixed_preKD,0.8929529083907943,0.8388841627687968,0.8301675384756588
t1ce_t2_flair,3,eval_fixed_postKD,0.8956195905608205,0.8295644503508791,0.8292681768779006
t1_flair,2,original_buggy,0.8343687704558594,0.04613853099815904,0.02840304204090912
t1_flair,2,eval_fixed_preKD,0.8425882616366818,0.19756595557745257,0.07634356925132375
t1_flair,2,eval_fixed_postKD,0.8650287801384219,0.5069481102791946,0.37804169919895597
t1_t1ce,2,original_buggy,0.6065279134235978,0.7823551613260823,0.7787728537356836
t1_t1ce,2,eval_fixed_preKD,0.6947900319417564,0.8313211619880265,0.8269646565147886
t1_t1ce,2,eval_fixed_postKD,0.6992789279813111,0.8235194307757028,0.8401066686564747
t1_t2,2,original_buggy,0.5942284963537292,0.0038268609474291044,0.031746031746031744
t1_t2,2,eval_fixed_preKD,0.5819898949709441,0.17739392440785198,0.07544540510349754
t1_t2,2,eval_fixed_postKD,0.7911723421010141,0.5682648174069403,0.41372422439211887
t1ce_flair,2,original_buggy,0.8002504303584405,0.8067712630536646,0.7701552097437363
t1ce_flair,2,eval_fixed_preKD,0.15435654421359193,0.8271389302317806,0.8021405509702786
t1ce_flair,2,eval_fixed_postKD,0.8708755881627906,0.8273041702212828,0.8279729534348939
t1ce_t2,2,original_buggy,0.7540088433369797,0.7927047068820632,0.7917401023526679
t1ce_t2,2,eval_fixed_preKD,0.8224659704995839,0.8260429349394601,0.8158695544369373
t1ce_t2,2,eval_fixed_postKD,0.8246410311886518,0.8319506474448938,0.8301081133944999
t2_flair,2,original_buggy,0.8495778618878892,0.08908326752448818,0.03039575347823904
t2_flair,2,eval_fixed_preKD,0.8715616695286713,0.24910397728972622,0.06436554554194354
t2_flair,2,eval_fixed_postKD,0.8803979708764176,0.5861761190831566,0.4471809306201284
flair,1,original_buggy,0.6414254905903243,0.02864768890967954,0.02424728730403722
flair,1,eval_fixed_preKD,0.7832431952894078,0.20419209532749677,0.06269974411099954
flair,1,eval_fixed_postKD,0.8400135829349895,0.48447466856708143,0.35235176918842626
t1,1,original_buggy,0.0017898976083320908,0.0016735507946039165,0.023826748153472035
t1,1,eval_fixed_preKD,0.027887447146111306,0.03518222602541708,0.01986986384386386
t1,1,eval_fixed_postKD,0.4632020344660528,0.2773652545524275,0.16092649519630045
t1ce,1,original_buggy,0.22559398244547185,0.23144843545475893,0.34058015306985295
t1ce,1,eval_fixed_preKD,0.023997433117402153,0.5313748962744089,0.49276745569136815
t1ce,1,eval_fixed_postKD,0.6170523829684414,0.7336625242979953,0.7301268086093423
t2,1,original_buggy,0.069787354454554,0.021135226428599465,0.031757165101337484
t2,1,eval_fixed_preKD,0.652337497027939,0.27871449420685057,0.16851607627716644
t2,1,eval_fixed_postKD,0.7706775204256441,0.5568833196368885,0.40332333677645243
