subset,modalities,case_count,dice_wt,dice_tc,dice_et,hd95_wt,hd95_tc,hd95_et
t1,t1,126,0.017061696576560797,0.017603304915938586,0.02694391585250935,164.61757459333643,251.7003410296281,249.9544913236577
t1ce,t1ce,126,0.1413424063553801,0.287889546133505,0.29852614686596807,140.18643980222592,141.28704174874966,119.07431878354855
t2,t2,126,0.5887358223978649,0.35898500176992615,0.04908807377582224,34.93244451170488,49.228221554056155,77.4852532850649
flair,flair,126,0.8330741449213664,0.2880915758342932,0.04464480779017655,12.608048974398853,67.27357376923413,257.09408743866425
t1_t1ce,"t1,t1ce",126,0.3332876042076057,0.6056738240575156,0.6107589297876903,72.76535433666321,63.05998939992169,41.99715782596683
t1_t2,"t1,t2",126,0.4634917108359247,0.256392040440627,0.05173570448631391,55.27978809909594,86.24577089654574,111.17332599410662
t1_flair,"t1,flair",126,0.8516424369942818,0.3868309889706662,0.06495061298868858,13.368742899015317,32.77819038043089,110.29668698807389
t1ce_t2,"t1ce,t2",126,0.6330864445290563,0.7247884474950753,0.7050155436134881,28.276844084096894,28.738076401544518,24.619717232462836
t1ce_flair,"t1ce,flair",126,0.8887032304911279,0.860427726226668,0.8366521232191446,6.183235303482091,12.331162794041385,10.205352999143884
t2_flair,"t2,flair",126,0.8789073336885679,0.3468194100515376,0.06114197629239342,9.432369353286466,48.48048613958245,177.61382298944002
t1_t1ce_t2,"t1,t1ce,t2",126,0.6561903024191642,0.7997804208088242,0.7727379660203785,26.08026172938147,22.418081911967825,20.24811595282044
t1_t1ce_flair,"t1,t1ce,flair",126,0.9087030120203486,0.8840132784161819,0.8595363087597508,4.779558820235576,4.60450992238393,8.945960830190895
t1_t2_flair,"t1,t2,flair",126,0.8918102235883524,0.46727901166649327,0.10542091079015833,10.230041812265865,19.781893218910454,51.41998774352957
t1ce_t2_flair,"t1ce,t2,flair",126,0.9294281554781062,0.8919577873701015,0.8569338911115357,4.008865135011217,4.482665115884261,8.711028497791784
t1_t1ce_t2_flair,"t1,t1ce,t2,flair",126,0.9318560091760011,0.8984987457226457,0.8584117412145414,3.9652657870249963,3.7714339542061173,11.575770009557154
